"Carbon","An essential alloying addition in steel.  As the carbon content of steel increases so does the strength and hardness.  To optimise the ductility and toughness for a given strength level the steel would be quenched and tempered.  The majority of carbon would then be in the form of fine carbides.  Carbon besides increasing the strength and hardness also increases hardenability (q.v.).  In general, the higher the carbon content, the greater the care required in welding.  (See Carbon Equivalent.)"
"Carbon equivalent","A key parameter in assessing the weldability of a steel grade.  The higher the value, the greater the care needed, especially with regard to pre- and post- heat treatment."
"Carbon steel","A non-alloy steel generally with a carbon content greater than 0.25%, in which the amount of carbon present is the major factor in determining its mechanical properties."
"Carbon-Manganese steels","Carbon-manganese steels refers to a family of medium to high strength steels which through a combination of correct selection of chemical composition and hot mill processing parameters produces products with enhanced formability and toughness."
"Carbonitriding","A thermochemical method of surface hardening a steel in which the steel is heated into the austenitic region and carbon and nitrogen diffused into the steel surface, following which, the steel is quenched."
"Carburising","A thermochemical process in which steel is heated into the austenitic region in a carbon-rich atmosphere, so causing carbon to diffuse into the steel surface.  The carburised steel product is then quenched."
"Case-Hardening","A process in which the surface (case) of the steel is hardened and the interior (core) of the steel is left unchanged.  A number of different techniques are available for achieving this objective."
"Cast iron","Cast Iron differs from steel in that is has a much higher carbon content, 2.0-4.5%, in combination with amounts of silicon, manganese, phosphorus and sulphur as determined by the type of cast iron, and the end use."
"Cementite","This is the name given to the compound of iron and carbon, Fe3C (iron carbide – colloquially ‘carbides’), which is a microstructural constituent found in many steels.  It is very hard and brittle."
"Charpy test","A test used to determine the degree of toughness of a steel.  A standard Charpy test specimen is 10mm square in cross-section, 55mm long and has a V-notch machined in it at mid-length.  The specimen is supported in a machine in which it is fractured by a swinging pendulum.  The energy absorbed in fracturing the specimen in Joules (J) is read from a scale on the instrument, and is a measure of the toughness of the steel being tested.  (See BS EN 10045-1: 1990)."
"Chromium","Added to increase the hardenability of steel.  A strong carbide former, so is present in quenched and tempered engineering steels, up to 3.5%, ball bearing steel, 1-1.5%, tool steels, (up to 12% in cold-working die steel) and in creep and heat resisting steels.  When steels contain 11% or more of chromium they are termed stainless because of their corrosion resistance, which is due to the thin passive chromium-rich oxide film, which forms on the steel surface."
"CNC","Computer Numerically Controlled."
"Cobalt","An alloying element used in super high-speed steels, maraging steels, alloys for permanent magnets and in high temperature resistant alloys for use in jet engines."
"Coefficient of expansion","The value of the ratio of the dimensional change (length, area, volume) of a material to the change in temperature that has caused it."
"Cold drawing","A process in which steel, in the form for example of bard, rod, tube, section or wire, is reduced in cross-sectional area and so increased in length by being pulled through a die.  Initially, the steel is at room temperature but the reduction process may cause a noticeable increase in the temperature of the drawn steel.  Cold drawing increases strength but reduces ductility and toughness."
"Cold reduced","See ‘Cold Rolled’."
"Cold rolled","The term cold rolled is used to describe materials that have been rolled at a temperature below the so-called recrystallisation temperature.  As a result of cold rolling the product is extremely hard, and in the great majority of cases it is necessary to anneal it before it has any commercial value.  The product so produced is characterised by a good surface and enhanced thickness tolerances.  Such a product is referred to as ‘cold reduced’."
"Cold working","Changing the shape of a piece of steel, at a temperature which is below the recrystallisation temperature, i.e. by plastic deformation, e.g. by rolling, forging, extrusion, drawing, spinning, machining etc."
"Continuous casting","A method of producing long lengths of solid steel of simple cross-sectional shape, such as slab, bloom or billet by pouring liquid steel from a ladle, via a tundish, into the top of a water-cooled metal mould of short length which is faced with a copper alloy.  The solidifying product is continuously withdrawn from the bottom of the mould, and cut to length prior to further processing."
"Controlled atmosphere","A type of atmosphere, e.g. a mixture of nitrogen and hydrogen, which is used in a heat treatment furnace to prevent unwanted reactions such as oxidation or decarburisation occurring to the work piece."
"Core","The centre, as opposed to the surface layers, of a piece of steel, e.g. a coil."
"Corrosion fatigue","Fatigue accelerated by simultaneous attack from a corrosive environment."
"Creep","Time dependent plastic deformation.  It is a serious design consideration when metals are operating under stress at high temperatures; creep rate is markedly temperature dependent.  Creep tests involve the determination of the strain-time curve for the steel under constant stress and constant temperature conditions."
"Critical cooling rate","The minimum rate of cooling that will produce a fully martensitic microstructure in a steel when it is cooled from austenitic condition to room temperature.  As the alloy content and carbon content of steel is increased the critical cooling rate of the steel decreases."
"Critical temperature","The temperature at which a phase change occurs in steel.  The exact value of this temperature depends on the particular phase change occurring e.g. austenite to ferrite or cementite or the reverse, on the chemical composition of the steel, on whether the steel is being heated or cooled and on the rate of heating or cooling."
"Crystalline fracture","When this type of fracture occurs in a steel it will have a shiny appearance as the fracture path in each grain has followed a cleavage plane so producing in each grain a flat reflective surface."
"CTCD","Inspection technique on formed material."
"Cyanide hardening","A surface hardening treatment in which low-carbon steel is immersed in a bath of molten cyanide-based salt causing carbon and nitrogen to diffuse into the steel surface so enabling a hardened case to be produced on the steel when it is quenched from the salt bath."
"Decarburisation","A loss of carbon from the surface layers of steel caused by the steel having been held at high temperatures in an oxidising atmosphere."
"Decoiling and cutting to length","The uncoiling, flattening if necessary and cutting to required length of strip originally in coil form."
"Deep drawing steel","A steel, produced usually in the form of sheet, in which the composition and microstructure have been carefully controlled such that it has excellent cold forming properties when shaped by drawing or by pressing.  In the case of carbon steel sheet a deep drawing quality grade would contain &lt;0.06%C, &lt;0.25%Mn and would have limitation on the sulphur and phosphorous contents.  It will be aluminium killed."
"Delta iron","The form of pure iron that exists between 1392°C and its melting point in which the iron atoms are arranged in a body centred cubic (bcc) crystalline pattern."
"Deoxidation","The practice of adding elements to liquid steel before it is cast to control the level of dissolved oxygen in the liquid and therefore to control the amount of carbon monoxide evolved during solidification.  Elements added for this purpose are Si and Al.  Modern casting practice requires the complete removal of gaseous oxygen before casting commences; this steel is ‘fully killed’."
"Descaling","A process in which oxide (scale), formed on steel when it is at high temperature in an oxidising environment, is removed from the steel surface.  Primary scale is usually removed in the first stage of a hot working operation using high-pressure water jets whereas secondary scale is usually removed by hot acid pickling or by shot blasting."
"Deseaming","The removal of surface imperfections on steel by the controlled use of an oxy-acetylene gas burner.  When used on-line in a rolling mill the process is often called ‘scarfing’."
"Die","A tool, usually containing a cavity, which is used to impart shape, or to change the shape of metal in liquid, solid or powder form.  Examples are die-casting dies, forging dies, draw dies."
"Dislocation","A discontinuity in the regular arrangement (crystallinity) of atoms in a metal grain (crystal)."
"Drawing","A process in which steel in the form for example of bar, rod, tube, section or wire is drawn (pulled) through a die in order to reduce its cross-sectional area, or in which a steel sheet blank is formed into a cup-shape by being deep drawn into a die."
"Dress","To clean or prepare an edge for the next process or despatch."
"Drop forging","A process in which hot steel blanks are shaped by forging into an impression formed within two dies.  One die is attached to a stationary anvil and the other to a drop hammer.  When the latter is dropped, either freely or under a power drive, the forging is formed by the closing together of the two dies."
"Dry film","Thickness of paint film (dry)."
"Ductility","The ability of a metal to deform plastically without fracturing.  From a tensile test, two simple measures of ductility obtained are elongation % and reduction in cross-sectional area %."
"Dye penetrant inspection","A method of Non-Destructive Testing for determining whether or not surface porosity or cracks are present in a metal.  The metal is coated with a penetrating liquid dye.  The surface liquid is then removed and the metal coated with a white absorbent powder.  The powder absorbs the dye held in the defects, so indicating their location."
"Elastic limit","The maximum stress a metal can withstand without any permanent strain (deformation) remaining when the load is removed."
"Elasticity","The property of a material that enables it to return to its original shape and dimensions when the stress on it causing these changes is removed."
"Electrical steels","Steels in which the composition and processing conditions are controlled carefully in order to give the steel specific magnetic properties, so that they can be used as core materials in electrical machines.  They are supplied in the cold rolled sheet or strip form, annealed and with an insulating coating on one, or both, faces of the sheet.  They can be of a non-oriented grain type, in which case their magnetic properties are similar both in the direction of rolling and in the transverse direction, or a grain oriented type, in which case the steel has preferred magnetic properties in the rolling direction.  Typically, a steel of the latter type contains &gt;3% Si, and Mn in the range 0.05-0.07%."
"Electroslag refining","A process for refining metallic alloys in which the alloy, in the wrought or as-cast state, in the form of an electrode is remelted through flux (slag) and solidified within a water-cooled copper mould."
"Elongation","A measure of the ductility of a metal assessed in a tensile test.  It is determined by dividing the elongation of the gauge-length of the fractured test piece by the original gauge-length."
"End quench test","This is more commonly referred to as the JOMINY test.  This test used to determine the relative hardenability of a steel.  The test piece is heated into the austenitic range, and then subjected to quenching from just one end, after which the hardness is determined incrementally away from the quenched end."
"Equiaxed crystals","Grains (crystals) that have approximately equal dimensions in each of three orthogonal directions. (i.e. at right angles to one another)."
"Equilibrium diagram","A plot of temperature against alloy composition showing the limits of composition and temperature ranges within which the venous constituent phases of the alloy exist under equilibrium conditions."
"Etching","The treating of a prepared polished metal surface with a chemical solution, or by other means, so that structural details of the metal surface are revealed.  This may be a macro structure, or more commonly requires examination under an optical microscope."
"Extrusion","The production of a length of uniform cross-section of metal from billet or ingot stock by forcing the metal to flow through a die, in direct extrusion, or to flow through or around the ram (die) in backward extrusion.  In both cases, the finished section will have a smaller cross-sectional area than the starting material and therefore will be longer."
"Fatigue","The effect on a metal of repeated cycles of stress.  If these changes in stress are of sufficient magnitude and number the metal can fracture at a stress level considerably below that of its tensile strength."
"Fatigue limit","The maximum value of the applied alternating stress that the material can withstand without failure ever occurring."
"Fatigue testing","A mechanical test method for determining the range of alternating (fluctuating) stresses and the number of cycles a material can withstand before failure.  The stresses can be tensional, compression or torsional, or a combination."
"Ferrite","A solid solution of one or more elements in alpha or delta iron."
"Ferro alloys","An alloy of iron containing sufficient of one or more other elements such as Si, Mn, Cr, Ti, V etc, making them of use as additions to molten steel, or cast iron, to meet an ordered specification."
"Flame hardening","A process in which a high temperature flame is applied to the surface of a hardenable steel to convert it to austenite.  The surface is then quenched to harden it."
"Forming","The process of changing the shape of sheet metal by the application of load, i.e. in presswork or metal spinning."
"Fracture face","The irregular surface produced when a piece of metal is broken."
"Freecutting steels","Steels in which specific additions, the most common being S and Pb, have been made in order to improve their machinability."
"Galvanic action","Corrosion induced by the action of an electric current caused to flow when two metals of dissimilar composition are connected electrically by an electrolyte.  The metal higher in the galvanic series will act as cathode, while the other will act as anode and will therefore corrode."
"Galvanising","Galvanising is the process in which corrosion protection is provided to a steel product by coating it in zinc.  This can be achieved either through a hot dip process, or electrolytically.  In the former, a cold reduced product passes through a series of heat treatments in which it is annealed and the surface is cleaned prior to the strip being passed continuously into a bath of molten zinc at c.440°C.  The coating mass is controlled as a result of the strip then passed through a set of air (or nitrogen) knives which force surplus zinc back into the bath.  The action of these knives is controlled by a meter that is set according to the coating mass actually required.  The alternative method of coating is to do it electrolytically; in this case the feedstock is an annealed and temper rolled cold reduced product.  Generally speaking, the coating masses so applied are much lighter than by hot dipping.  It should be remembered that in addition to the continuous processes described above, for some applications post galvanising, i.e. hot dip galvanising alter forming or fabrication, is appropriate.   If steels are to be post-galvanised as part of the manufacturing process this should be stated at the time of ordering."
"Galvanneal","A variation of the continuous hot dip galvanising process.  Following the solidification of the strip on exit form the galvanising bath it is passed through another furnace in which the iron and zinc are caused to alloy (8-12% iron) more strongly than can be achieved purely by dipping.  This product is used in the automotive industry where good corrosion resistance is combined with much improved weldability compared with a pure zinc coating."
"Gamma iron","The form of iron that exists between 910°C and 1392°C, in which the iron atoms are arranged in a face centred cubic (fcc) crystalline pattern, i.e. an atom at each corner of a cube, and a further atom in the centre of each face."
"Gas carburising","A method of case-hardening a steel in which carbon, from a gaseous atmosphere, is diffused into the surface of the steel while it is at high temperature in the austenitic condition."
"Gauge length","A length on the parallel-sided central portion of a tensile test specimen that is used as the basis for determining the strain and total elongation of the specimen."
"Gauge plate","In the trade this is also known as ‘ground flat stock’.  It is a tool steel usually containing 0.9% C, 1.2% Mn, 0.5% Cr.  It is supplied, in the annealed condition, in short lengths, of rectangular cross-section strip with faces ground flat to close tolerances.  It is used in the manufacture of gauges, dies, templates etc."
"Grain size control","A term used to describe methods for controlling the grain size of steel during its manufacture."
"Grain size measurement","The measurement of the grain size of a metal by observation of a metallographically prepared sample under a microscope.  There are several methods available for quantifying the observations."
"Graphitising","The partial, or complete conversion of the combined carbon that is in the form of iron carbide, Fe3C (cementite) uncombined carbon (graphite) and ferrite.  This reaction can take place in steel or in cast iron.  In the latter it often occurs at solidification rather than when the cast iron is in solid form."
"Grey iron","A common form of cast iron so-called because the fracture surface of the iron has a grey appearance due to the graphite flakes present in the microstructure."
"Grinding","The removal of material from a work-piece surface using a grinding wheel or abrasive belt."
"Grinding cracks","The formation of shallow surface cracks on a ground work-piece.  Normally caused by the generation of excessive heat when an incorrect grinding procedure has been used.  Most commonly seen on hardened steel."
"Grit","An angular steel abrasive used in the blast cleaning process."
"Hard metal facing","The coating of a metal surface with hard metal alloy powders in order to increase the wear resistance of the surface."
"Hardenability","A term applied to steels to describe the relative ease with which martensite can be formed in the steel.  The lower the cooling rate at which a fully martensitic microstructure can be formed in the steel when it is cooled from austenitic condition the higher is the hardenability.  Hardenability is commonly assessed by the Jominy end quench test."
"Hardening","Increasing the hardness of metals by mechanical, thermo-mechanical, thermal or thermo-chemical treatments."
"Hardness","A measure of the resistance of a metal to indentation by a loaded indenter.  The common tests used to determine hardness are the Vickers, Brinell or Rockwell tests."
"Heat","In steel making this is often used to describe the steel produced from a single melting operation."
"Heat resisting steel","These are steels required to operate at very high temperatures and therefore they may require one or more of the following characteristics: creep resistance, resistance to oxidation, or other forms of gaseous attack, and freedom from microstructural changes that would lead to their embrittlement.  Because service conditions can vary greatly a wide range of steel compositions came under the category of heat resisting with C-Mn, or low alloy steels of the CR Mo-V type being used to 500-525°C and austenitic stainless grades, containing for example 25% Cr, 20% Ni, being used at higher temperatures."
"Heat treatment","Heating and cooling a solid metal or alloy in such a way as to obtain desired properties.  Heating for the purpose of hot working is excluded from this definition."
"High speed tool steel","Steel which is alloyed inn such a way that it can be used a s a cutting tool material to machine other metals at high speeds, and still retain its cutting ability, even though the tool tip is at a low red heat.  The various grades of this steel all contain 0.6% or more of carbon, a combined content of 7%, or more, of the elements tungsten, molybdenum and vanadium, 3-6% of chromium and in those required to operate at the highest temperatures additions of 4-13% of cobalt."
"High yield strength steel","Other terms used to describe this type of steel are High Strength Low Alloy (HSLA) steel or Microalloyed steel.  It is a steel that with a combination of small amounts of niobium (Nb), vanadium (V) or titanium (Ti), or a controlled combination, and a controlled hot rolling practice has yield strength greater than that obtainable in a mild steel, (i.e. greater than ~275 Mpa)."
"Hooke’s law","A law that states that when a material is behaving elastically, the strain in the material is directly proportional to the stress producing it."
"Hot quenching","An imprecise term for describing the cooling of a material by quenching it into a medium, the temperature of which is above that of ambient."
"Hot work","The plastic deformation of a metal by processes such as rolling, forging, or extrusion, carried out at a temperature and strain rate such that substantial strain hardening does not occur but instead the metal continues to yield relatively easily because the metal is recrystallising continuously."
"Hydrogen","A gas which, when present in steel, can cause embrittlement, hair-line cracking, or even complete fracture, especially of high strength steels.  Is an option as a controlled atmosphere medium for annealing, e.g. Ebher annealing, and also in high temperature annealing of grain oriented electrical steels."
"Impact test","A test using, for example, an Izod or a Charpy notched specimen to determine the relative toughness of the metal by measuring the energy absorbed when the test specimen is fractured by a weighted pendulum."
"Inclusion count","A quantitative assessment of the inclusion population of a metallic alloy.  It is carried out microscopically on a prepared sample of the alloy and may include one or more of the following assessments: the number of inclusion particles present, their size, their shape, their type and their distribution."
"Inclusions","Particles, usually compounds, such as oxides, sulphides or silicates, but that could also be of any substance that is foreign to and essentially insoluble in the steel matrix, e.g. particles of lead."
"Induction hardening","A process for surface hardening steel in which the surface of the steel is heated to an austenitic condition, by eddy currents from an inductor coil carrying a high-frequency alternating current, and then quenched immediately to form martensite.  Changing the frequency of the inductor coil current can modify the depth of hardening achieved.  To obtain sufficient hardness the steels hardened in this manner usually contain at least 0.3%C."
"Ingot","A term used to describe a block of solid steel resulting from the batch casting of liquid steel into a stationary mould made usually of cast iron."
"Ingot mould","The container into which molten steel is poured to produce an ingot.  Usually it would be made of cast iron but for the production of very large forging ingots it would be made of sand."
"Intercrystalline corrosion","Corrosive attack occurring preferentially in the grain boundary regions of an alloy.  It is also known as intergranular corrosion."
"Interrupted quenching","A term used to describe a quenching procedure in which steel, instead of being quenched into a liquid at ambient temperature, is quenched into a liquid, usually molten salt, at some elevated temperature.  When the steel has been held for sufficient time at this temperature to achieve temperature uniformity, and/or has achieved the required microstructural transformation, it is further quenched to room temperature."
"Iron","When used in the scientific or chemical sense this word refers to the chemical element Fe or to pure iron.  It is the principal element present in steels and cast irons."
"Izod impact test","An Izod impact test is similar to a Charpy test in that the notched specimen is of the same dimensions as a Charpy test piece and the energy absorbed when the specimen is fractured by a falling pendulum is used to assess the toughness of the steel sample.  In the Izod test the specimen is struck by the pendulum when it is held vertically in a vice, whereas in the Charpy test the specimen is struck when in a horizontal position."
"J Prep","Preparation for welding."
"Jominy test","A test used to assess the hardenability of a steel. A standard Jominy specimen is 25mm in diameter and 100mm long with a flanged end. The specimen is heated to an austenitic condition and then end-quenched using a standardised water jet. When cool, a flat, 0.4mm deep, is ground along the length of the bar and hardness measurements made along the flat. The hardness results are then plotted against distance from the quenched end to give a Jominy hardenability curve for the steel."
"Joule","A joule (J) is a unit of energy, including work and quantity of heat. It is the work done when the point of application of a force of 1 Newton (N) is displaced through a distance of 1 metre (m) in the direction of the force."
"Kerf","Width of material lost by oxy propane cutting flame."
"Killed steel","Made by complete deoxidation of the molten steel before it is cast so that no gas evolution occurs during solidification. Normally this is achieved through additions of aluminium and/or silicon."
"L-D Process","A process of making steel in which oxygen is blown from a water-cooled lance onto a bath, consisting mainly of blast furnace iron, in a large refractory lined tillable vessel. The process is named after the two towns in Austria, Linz and Donawitz, from where it originates but is now more commonly known as Basic Oxygen Steel making (BOS) or the Basic Oxygen Process (BOP)."
"Lap","The presence of an area of 'double skin' on the surface of a wrought steel product, e.g. on a section of rolled bar. The most common cause of this type of defect is from excess material being squeezed out into the roll collar during a roll pass so forming a fin on either side of the product. On turning the steel for the next pass the fins are then rolled back into the steel surface so producing laps."
"Laser cutting and welding","Laser cutting is a process in which a laser beam is used to cut e.g. blanks from a sheet of metal. Because of the intense and highly localised nature of a laser beam, a high degree of precision can be achieved. Provided the material being cut is of adequate quality, the risk of distortion is greatly reduced. The cut is much cleaner than one produced by any other means. Laser welding is the reverse of cutting; in this case the intense heat of a laser beam is being used to execute a precision weld of high quality."
"Leaded steels","Steels to which lead, in amounts between 0.15-0.35%, has been added, usually in conjunction with sulphur, to improve the machinability of the product."
"Limit of proportionality","The maximum level of stress which a metal can withstand and still obey Hooke's Law, i.e. it is the point on the stress-strain which any increase in stress will cause a deviation from linearity. In practice, this means a permanent set."
"Limiting ruling section","The maximum diameter bar size for which a stated set of mechanical properties can be obtained for a particular steel composition after a given quench and temper heat treatment."
"Liquid carburising","A treatment in which carbon is diffused into the surface of steel, in order to harden it, through immersion of the state in a bath of molten sodium cyanide-based salt."
"Machinability","A term used to describe the ease with which a metal can be machined"
"Macrostructure","The structure of metals as seen when viewed with the naked eye or at low magnification."
"Magnetic crack detection","Also known as magnetic particle inspection. This is a non-destructive method of detecting surface and sub-surface discontinuities, (cracks, porosity etc.), in ferromagnetic materials. Finely divided magnetic particles, applied to the magnetised material, are attracted to, and outline the pattern of any magnetic leakage fields and so reveal the presence of the discontinuity that created the leakage."
"Malleability","The characteristic of metals which permits them to be deformed plastically by compressive forces without fracture"
"Manganese","A most useful additive to steels. Mild deoxidiser. Combines with sulphur and so decreases the chance of the steel suffering from hot shortness. Improves the toughness of ferrite-pearlite steels. Improves hardenability. Hadfield's manganese steel, which is characterised by its great resistance to wear, contains around 13% Mn. It is used in some grades of austenitic stainless steel to replace the more expensive nickel, as it is an austenite stabiliser."
"Maraging steels","Maraging steels are a family of high nickel steels i.e. typically not less than 18% that are characterised by extreme high strength and toughness. Nickel is one of a group of possible additions to steel that encourages the formation of austenite, as opposed to carbides. Because of this, under the correct conditions high strength can be conferred by the transformation of austenite into martensitic type structures. The merit of maraging steels is that this change brought about as a result of a simple heat treatment, a consequence of which is that the problems of distortion normally associated with high temperature heat treatments are avoided. A typical heat treatment might involve heating o 820°C followed by air cooling (which avoids the distortion which would be associated with a faster rate cooling). The process is completed by ageing at a temperature in the range 450-510°C n"
"Martempering","A heat transformation procedure in which an austenitised steel is quenched to a temperature just above MS, the martensite start temperature, at a rate fast enough to avoid the formation of ferrite, pearlite or bainite. The steel is then held at this temperature for long enough to achieve temperature uniformity without transformation and then cooled to room temperature. The process is employed to minimise the chance of quench cracking or distortion occurring."
"Martensite","A microstructural form found in steel when it has been cooled from its austenitic state to room temperature at a greater than the critical cooling rate of the steel. It is a metastable solid solution with a body-centred tetragonal structure and its hardness depends primarily upon the carbon content of the steel."
"Mass effect","A term used to emphasise the effect of section size on the rate at which a steel can be cooled through its austenitic transformation, and hence the effect of section size on the microstructure and mechanical properties that can be produced in a steel of a particular chemistry when cooled in this manner."
"Maximum stress","When used in relation to the tensile testing of a metal the value of the maximum stress is obtained by dividing the maximum load to which the test piece is subject to by the original cross-sectional area of the specimens gauge length."
"McQuaid-Ehn grain size test","A method for determining the re-formed parent austenite grain size of steels primarily intended for case-hardening, so is mainly used on carbon and alloy steels containing up to approximately 0.25% carbon. In the test, samples of the steel are carburised under standard conditions and the austenite grain size is revealed by the network of cementite that forms on their boundaries during slow cooling."
"Melting point","The temperature at which a solid begins to melt."
"Micron","A unit of length. It is 1 x 10 6 (0.001mm)."
"Microstructure","The internal structure of a material revealed when a sample is polished, etched and viewed under a microscope."
"Mild steels","A description generally taken to mean non-alloy steel with a maximum carbon content of about 0.25%."
"Mill margin","Material allowed between mill supplied size &amp; final cut size to allow cutting operations."
